quadrat,acne,acpl,acru,acsp,aial,amar,astr,beth,caca,caco,cade,cagl,caovl,casp,cato,ceca,ceoc,chvi,coal,coam,cofl,crpr,crsp,divi,elum,fagr,fram,frni,frpe,frsp,havi,ilve,juci,juni,libe,litu,loma,nysy,pato,pipu,pist,pivi,ploc,prav,prpe,prse,qual,quco,qufa,qumi,qumu,qupr,quru,qusp,quve,romu,rops,rual,rupe,ruph,saal,saca,tiam,ulam,ulru,ulsp,unk,vipr,vire
511,,,,,,,1,,6,1,,,,,,,,,,,,,,,,1,2,,,1,,,,,,3,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,1,2,2,,
512,,,1,,,,1,,3,,,1,,,,,,,,,,,,,,2,1,,,,3,,,,1,,,3,,,,,,,,,3,,,,,,2,,,,,,,,,,2,,2,,1,,
513,,,,,,,8,,13,,,1,,,,,,,,,,,,,,4,1,,,,,,,,,8,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,1,
514,,,,,,,2,,6,,,,,,,2,,,,,,,,,,5,,,,,,,,,1,8,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,
515,,,2,,,,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,,1,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
516,,,3,,,,15,,5,,,,,,,,,,,,,,,,,1,,1,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,
517,,,,,,,,,8,1,,1,,,2,,,,,,,,,,,2,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,2,,2,,,,
518,,,,,,,,,,2,,2,2,,1,,,,,,2,,,,,3,,,,,2,,,,,4,,10,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,1,,,,
519,,,1,,,1,,,4,,,4,1,,6,,,,,,5,,,,,,1,,,,6,,,,,5,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
520,,,1,,,5,,,3,,,1,,,5,2,,,,,1,,,,,2,3,,,,,,,,,3,,9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
521,,,2,,,1,,,2,,1,3,1,,3,3,,1,,,2,,,,,,1,,,,,,,,,4,,10,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,
522,,,1,,,,,,,1,,9,3,,9,,,,,,3,,,,,,,,,,,,,,,1,,3,,,,,,,,,1,,,,,,2,,,,,,,,,,,,1,,,,
523,,,2,,,,,,2,,1,3,2,,3,2,,,,,5,,,,,,1,,,,,,,,,2,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
524,,,1,,,,3,,2,,,3,2,,1,1,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
525,,,,,,,,,,1,,1,3,,2,3,,,,,,,,,,,3,,,,,,,,,3,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,1,
526,,,,,,,,,,,,1,2,,5,,,,,,3,,,,,,,,,,,,,,,8,,1,,,,,,,,,1,,,,,,2,,1,,,,,,,,,,,,,,
527,,,3,,,,,,,,,4,4,,4,,,,,,2,,,,,,,,,,,,,,,2,,1,,,,,,,,,2,,,,,2,2,,1,,,,,,,,,,,,,,
