"tag","coreID","sp","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
80641,"80641B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.763,2.12,1.06,0.896,0.867,0.534,0.759,0.785,0.557,0.469,1.055,0.947,0.968,0.888,0.735,0.557,0.275,0.655,1.159,0.961,1.172,0.848,1.167,1.086,1.563,2.111,1.141,0.315,0.459,0.459,0.658,0.869,2.28,2.535,0.84,0.764,0.468,0.924,0.707,0.397,1.059,0.84,0.457,1.018,0.625,0.275,0.36,0.388,0.228,0.218,0.27,0.307,0.362,0.224,0.075,0.306,0.426,0.607,0.356,0.428,0.144,0.086,0.069,0.076,0.102,0.082,0.068,0.056,0.04,0.061,0.062,0.08,0.041,0.078,0.06
80711,"80711","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632,1.085,1.333,1.049,1.271,1,1.553,1.362,1.47,2.451,2.216,1.883,1.363,1.936,1.352,1.732,1.633,1.087,1.785,1.282,1.21,1.015,0.89,0.75,0.582,1.013,0.46,0.613,0.537,0.82,0.59,0.843,0.952,0.376,0.822,0.578,0.771,0.477,0.487,0.638,0.648,0.565,0.673,0.923,0.613,0.746,0.698,0.738,1.58,1.831,1.971,1.571,1.687,1.272,1.406,1.557,0.889,0.912,0.593,0.444,0.378,0.455,0.92,0.43,0.675,0.864,1.598,1.533,1.46,2.251,2.776,1.922,1.463,0.966,0.933,0.952,1.012,0.642,0.414,0.548,0.638,0.622,0.857,0.49,1.752,0.661,0.403,1.384,0.45,1.085,0.84,1.353,0.834,1.128,0.951,1.353,1.563,1.117,1.145,0.819,0.843,1.385,1.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80719,"80719","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.047,1.443,0.888,1.186,1.057,1.232,1.046,0.804,0.354,0.385,0.317,0.33,0.399,0.359,0.527,0.494,0.335,0.349,0.266,0.343,0.326,0.471,0.627,0.579,0.429,0.594,0.393,0.335,0.2,0.19,0.379,0.387,0.464,0.357,0.284,0.188,0.271,0.331,0.23,0.389,0.331,0.461,0.656,0.663,0.339,0.643,0.656,0.734,0.589,0.443,0.376,0.505,0.274,0.392,0.312,0.42,0.417,0.466,0.436,0.422,0.318,0.496,0.437,0.319,0.26,0.213,0.443,0.457,0.439,0.426,0.363,0.382,0.353,0.278,0.34,0.28,0.185,0.266,0.263,0.417,0.297,0.245,0.142,0.113,0.102,0.149,0.26,0.227,0.315,0.259,0.386,0.324,0.328,0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80746,"80746","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.275,0.538,1.243,1.852,2.662,3.058,1.601,0.278,0.241,0.349,0.54,0.372,0.287,0.612,0.619,0.858,0.829,0.773,0.863,0.604,0.79,0.385,0.215,0.274,0.12,0.12,0.191,0.156,0.266,0.218,0.202,0.233,0.356,0.114,0.107,0.888,0.967,0.526,0.28,0.382,0.632,1.17,1.592,1.494,1.326,2.003,0.881,1.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82213,"82213","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549,0.551,0.536,0.487,0.72,0.571,0.449,0.645,0.672,0.76,0.896,0.674,0.851,0.526,0.566,0.716,0.812,1.774,1.031,1.203,0.583,0.65,1.098,1.338,1.692,1.778,1.323,1.491,1.561,2.065,1.824,1.342,1.145,1.927,2.032,3.409,2.273,2.694,2.392,2.18,1.794,1.135,1.438,1.408,1.63,1.174,1.791,1.273,1.224,1.073,0.925,1.013,0.528,0.641,0.58,0.61,1.101,1.182,1.443,1.615,2.049,2.381,2.362,1.831,1.221,0.571,1.214,1.102,0.638,1.031,1.288,1.372,1.653,1.207,1.486,1.157,0.697,1.116,1.641,1.296,1.8,1.933,1.401,1.159,1.786,0.877,0.822,0.768,1.106,1.462,1.34,1.096,0.973,0.543,0.432,0.288,0.529,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82218,"82218","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812,3.72,3.246,2.896,1.689,2.108,1.668,2.096,2.808,3.152,2.398,1.793,1.914,1.52,1.877,1.842,1.82,1.918,1.951,2.261,1.254,1.828,2.495,2.68,1.544,1.748,2.979,2.77,2.915,3.091,3.1,2.702,2.561,2.423,2.503,2.198,1.803,1.437,0.844,1.286,0.884,1.695,1.091,0.565,0.755,0.856,0.563,0.457,0.569,0.73,0.605,0.601,0.813,0.846,0.64,0.678,0.783,0.865,0.586,0.515,0.544,0.513,0.602,0.617,0.54,0.454,0.73,0.856,0.78,0.799,0.485,1.046,0.573,0.878,1.231,0.689,0.903,1.013,0.828,1.128,0.78,0.606,1.119,1.176,0.893,1.668,0.962,0.51,0.806,1.046,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82239,"82239A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962,1.481,3.932,3.021,2.381,3.113,3.488,3.016,1.819,2.511,2.189,2.775,2.698,2.936,2.971,3.143,3.574,2.981,3.249,3.493,3.305,3.264,0.336,0.557,0.746,1.242,0.936,0.608,2.109,2.494,1.757,1.653,1.873,1.699,2.046,2.189,3.469,2.203,2.26,1.338,1.141,1.499,0.997,1.138,0.881,1.131,1.046,1.279,1.106,0.699,0.658,0.807,0.53,0.522,0.468,0.561,0.701,0.449,0.505,0.585,0.846,0.696,0.844,0.874,0.998,1.433,1.494,1.249,1.024,1.008,1.092,1.284,1.214,1.221,0.895,0.526,0.705,0.694,0.47,0.973,0.683,0.768,0.535,0.364,0.334,0.441,0.403,0.365,0.336,0.237,0.183,0.174,0.154,0.117,0.113,NA,NA,NA,NA,NA,NA,NA
82239,"82239B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.326,1.369,2.188,2.14,3.493,3.415,3.868,4.087,3.646,3.939,4.661,4.993,2.363,2.428,4.871,3.853,3.231,3.803,2.27,1.993,0.952,0.514,1.212,1.632,1.39,2.089,2.212,2.075,1.341,1.456,1.312,0.794,0.418,0.489,0.367,0.305,0.375,0.422,0.39,0.44,0.357,0.471,0.365,0.43,0.512,0.44,0.639,0.487,0.579,0.715,1.107,1.019,0.796,0.667,0.618,0.491,0.448,0.364,0.458,0.254,0.254,0.232,0.388,0.511,0.441,0.398,0.298,0.17,0.183,0.257,0.347,0.291,0.301,0.419,0.276,0.2,0.259,0.122,0.229,0.242,0.194,0.087,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82317,"82317","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.322,0.687,0.829,0.57,0.492,0.604,0.888,0.868,0.825,0.37,0.292,0.204,0.272,0.441,0.39,0.669,0.472,0.346,1.003,0.976,1.24,0.992,0.827,1.027,1.299,1.372,0.633,0.436,0.37,0.411,0.695,0.758,0.557,0.571,0.557,0.483,0.477,0.38,0.404,0.433,0.328,0.513,0.228,0.131,0.092,0.121,0.076,0.129,0.143,0.074,0.073,0.127,0.1,0.063,0.062,0.105,0.145,0.046,0.327,1.394,1.601,1.418,0.462,0.258,0.158,0.181,0.106,0.091,0.064,0.114,0.139,0.21,0.072,0.082,0.15,0.114,0.036,0.048,0.045,0.059,0.084,0.081,0.079,0.084,0.083,0.118,0.092,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82368,"82368","litu",0.504,0.318,0.386,0.454,0.306,0.248,0.573,1.178,1.877,1.491,1.154,1.049,0.742,0.663,0.756,0.471,0.503,0.324,0.359,0.368,0.641,0.923,0.598,0.586,0.845,0.874,1.017,0.802,0.472,0.634,0.412,0.685,0.899,1.026,0.763,0.574,0.44,0.25,0.249,0.339,0.448,0.363,0.389,0.613,0.683,1.1,1.622,0.982,0.381,0.439,0.262,0.545,0.81,0.666,1.022,0.782,0.541,0.509,0.606,0.452,0.333,0.579,0.681,0.398,0.432,0.376,0.243,0.349,0.561,0.549,0.618,0.733,0.603,0.396,0.815,1.722,1.169,1.075,0.908,0.975,0.915,0.647,0.47,0.512,0.517,0.657,0.478,0.392,0.484,0.248,0.345,0.224,0.193,0.212,0.208,0.188,0.12,0.168,0.128,0.12,0.265,0.139,0.123,0.118,0.13,0.087,0.057,0.162,0.137,0.13,0.244,0.23,0.246,0.188,0.207,0.221,0.186,0.101,0.082,0.097,0.06,0.073,0.122,0.085,0.089,0.093,0.089,0.138,0.052,0.059,0.062,0.056,0.118,0.12,0.136,0.183,0.168,0.24,0.179,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82381,"82381A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.567,1.184,0.63,0.579,1.23,2.746,2.329,1.739,1.675,0.681,0.443,0.824,1.011,1.082,1.929,1.751,1.984,1.489,1.114,1.36,1.403,1.392,1.432,3.129,2.817,1.101,1.522,1.525,1.359,1.455,1.156,1.808,1.784,1.341,1.336,1.621,1.871,1.203,0.967,0.204,0.299,0.333,0.339,0.184,0.258,0.165,0.168,0.192,0.256,0.245,0.245,0.298,0.209,0.117,0.112,0.161,0.106,0.074,0.065,0.037,0.053,0.104,0.109,0.087,0.078,0.082,0.123,0.078,0.108,0.123,0.102,0.049,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
82403,"82403A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68,3.471,3.32,2.711,2.959,3.534,3.16,2.982,1.717,2.416,2.349,1.817,1.722,2.114,1.481,1.706,2.405,1.292,1.488,1.317,1.625,1.532,1.341,1.995,2.279,1.935,1.847,1.934,0.96,0.825,1.012,0.889,0.748,0.757,0.439,0.268,0.348,0.212,0.357,0.225,0.251,0.302,0.256,0.121,0.188,0.208,0.276,0.351,0.378,0.497,0.335,0.308,0.367,0.275,0.252,0.429,0.535,0.42,0.324,0.395,0.417,0.452,0.213,0.185,0.174,0.116,0.187,0.142,0.111,0.107,0.222,0.198,0.101,0.096,0.128,0.209,0.113,0.063,0.092,0.236,0.129,0.147,0.149,0.149,0.225,0.183,0.165,0.198,0.165,0.176,0.117,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82403,"82403B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.802,3.535,3.341,2.807,2.158,0.934,3.446,2.925,1.282,1.508,1.725,2.171,1.914,1.695,1.584,1.85,1.171,1.302,2.251,1.169,1.356,1.196,1.407,1.444,1.144,2.121,2.195,0.778,2.63,1.72,0.643,0.72,0.814,0.917,0.743,1.087,0.637,0.514,0.754,0.422,0.649,0.4,0.329,0.384,0.287,0.206,0.205,0.29,0.287,0.347,0.415,0.404,0.353,0.301,0.478,0.263,0.251,0.515,0.699,0.338,0.177,0.421,0.452,0.473,0.293,0.294,0.281,0.135,0.192,0.173,0.156,0.139,0.206,0.222,0.141,0.159,0.217,0.213,0.124,0.139,0.152,0.305,0.197,0.135,0.125,0.098,0.137,0.258,0.252,0.246,0.209,0.163,0.145,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90285,"90285A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683,0.808,0.959,1.059,0.926,1.316,3.745,2.269,4.354,5.369,4.021,2.981,3.499,4.019,4.305,2.664,2.467,3.618,2.695,1.791,1.873,2.225,2.876,2.611,2.132,1.334,1.127,0.926,0.885,1.208,1.186,1.564,0.666,0.493,0.548,0.439,0.338,0.174,0.297,0.327,0.522,0.587,0.594,0.883,0.862,0.592,0.253,0.238,0.206,0.238,0.187,0.379,0.227,0.227,0.355,0.222,0.185,0.19,0.212,0.236,0.199,0.114,0.119,0.115,0.092,0.111,0.19,0.087,0.089,0.071,0.101,0.08,0.069,0.089,0.243,0.128,0.111,0.089,0.116,0.129,0.11,0.1,0.121,0.084,0.086,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90285,"90285B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.331,3.762,3.357,3.008,2.795,3.254,4.012,1.98,2.111,2.98,2.527,2.144,1.697,1.488,2.27,1.363,1.289,0.879,0.718,1.244,0.449,0.415,0.577,0.859,0.846,0.822,0.722,0.596,0.543,0.875,0.874,0.858,1.959,0.865,0.715,0.174,0.157,0.224,0.163,0.159,0.22,0.251,0.216,0.295,0.335,0.285,0.263,0.161,0.165,0.084,0.088,0.129,0.119,0.135,0.102,0.077,0.117,0.152,0.125,0.165,0.15,0.12,0.114,0.115,0.116,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90287,"90287","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.035,2.334,2.583,1.826,2.126,1.878,1.739,2.294,2.363,2.285,1.231,1.444,1.431,1.465,1.465,1.575,1.95,2.203,2.243,1.662,1.939,1.585,2.525,2.275,1.56,2.54,1.632,1.164,1.608,1.858,1.61,1.293,0.927,0.549,0.689,0.527,1.364,0.942,0.92,0.707,1.011,1.38,1.109,0.871,0.655,0.684,0.35,0.304,0.74,0.511,0.95,0.652,1.08,0.653,0.853,1.199,0.993,0.502,0.91,1.143,0.763,0.592,0.549,0.503,0.376,0.525,0.594,0.359,0.419,0.696,0.684,0.453,0.639,0.748,0.432,0.864,0.811,0.757,0.848,0.258,0.321,0.546,0.512,0.426,0.704,0.65,0.494,0.589,0.325,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90369,"90369","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.127,2.469,1.925,1.752,1.182,0.782,0.711,0.914,0.941,0.541,0.22,0.247,0.177,0.324,0.147,0.249,0.187,0.11,0.37,0.561,0.656,0.551,0.549,0.229,0.604,1.093,0.017,0.196,0.834,0.694,0.664,0.355,0.351,0.608,0.486,0.579,0.354,0.165,0.274,0.322,0.182,0.196,0.257,0.154,0.114,0.083,0.107,0.114,0.132,0.112,0.104,0.186,0.129,0.162,0.148,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90486,"90486","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.717,2.468,1.556,1.957,2.696,2.834,3.294,1.293,2.485,0.959,1.67,2.184,1.803,1.518,1.633,1.816,1.012,0.575,0.64,1.908,1.389,1.351,1.62,2.177,2.534,1.954,1.373,1.976,2.258,2.162,2.307,1.683,2.433,1.753,1.796,1.409,0.877,0.792,0.4,0.344,0.375,0.293,0.763,0.661,1.39,1.31,2.042,1.915,1.544,2.111,1.421,0.7,0.639,1.088,0.676,0.673,0.872,0.535,0.509,1.002,1.045,1.566,1.524,1.083,1.699,0.868,0.972,1.207,0.589,1.152,1.28,0.856,0.631,1.099,1.226,1.139,1.301,1.332,1.105,0.814,1.121,1.545,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90607,"90607B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.637,3.957,1.846,1.204,1.181,0.563,0.7,0.283,0.186,0.655,0.865,1.102,0.916,0.61,0.368,0.396,0.31,0.412,0.348,0.36,0.445,0.256,0.46,0.461,0.367,0.573,0.544,0.622,0.861,1.082,0.98,1.93,1.664,1.595,0.587,0.719,0.317,1.187,0.895,0.97,1.193,0.979,0.997,0.841,0.899,0.798,0.643,0.468,0.434,0.301,0.336,0.294,0.388,0.516,0.234,0.428,0.507,0.288,0.401,0.318,0.258,0.402,0.357,0.132,0.198,0.272,0.466,0.505,0.413,0.435,0.399,0.463,0.475,0.401,0.477,0.52,0.529,0.261,0.231,0.113,0.279,0.088,0.07,0.085,0.113,0.094,0.067,0.098,0.154,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90609,"90609A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.436,1.395,1.247,0.923,0.457,0.504,0.298,0.292,0.901,1.2,1.56,1.216,0.611,0.301,0.387,0.45,0.487,0.733,0.719,0.666,0.645,0.68,0.697,0.433,0.505,0.502,0.409,0.51,0.836,0.937,1.367,1.277,1.202,1.221,0.707,0.917,1.411,1.156,1.464,1.35,1.183,1.09,1.029,0.841,0.695,0.668,0.601,0.353,0.414,0.43,0.444,0.657,0.475,0.555,0.925,0.625,0.598,0.55,0.599,0.7,0.59,0.186,0.561,0.709,0.601,0.564,0.587,0.628,0.464,0.35,0.439,0.535,0.431,0.358,0.646,0.098,0.355,0.21,0.366,0.162,0.071,0.107,0.061,0.111,0.146,0.088,0.154,0.13,0.092,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90645,"90645","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143,1.267,1.223,0.965,0.826,0.724,0.866,0.816,0.671,0.32,0.236,0.221,0.177,0.163,0.234,0.301,0.384,0.41,0.703,0.577,0.482,0.602,0.51,0.487,0.394,0.924,0.713,0.672,0.605,0.614,0.48,0.668,0.633,0.716,1.045,1.385,1.008,0.779,0.889,0.834,0.753,0.709,0.859,0.793,0.601,0.282,0.357,0.649,0.623,0.389,0.377,0.234,0.12,0.478,0.304,0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91377,"91377","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.529,1.216,1.471,0.804,1.44,1.25,1.442,1.388,1.35,1.149,1.275,1.356,0.8,0.825,0.775,0.721,0.578,0.607,0.948,0.05,0.122,0.099,0.138,0.1,0.075,0.056,0.131,0.141,0.152,0.281,0.342,0.374,0.263,0.326,0.214,0.316,0.296,0.212,0.151,0.05,0.06,0.167,0.154,0.309,0.34,0.44,0.62,0.63,0.69,0.576,0.553,0.643,0.774,2.187,1.498,0.825,0.659,0.484,0.427,0.572,0.485,0.438,0.523,0.847,0.355,0.482,0.71,0.573,0.521,0.541,0.511,0.791,0.543,0.591,0.735,0.45,0.705,0.718,0.456,0.387,0.279,0.549,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91491,"91491","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662,0.851,0.473,0.241,0.269,0.172,0.119,0.118,0.133,0.108,0.267,0.251,0.652,0.811,0.723,0.484,0.486,0.47,0.276,0.367,0.266,0.149,0.175,0.351,0.343,0.328,0.805,0.833,0.596,0.306,0.257,0.242,0.248,0.2,0.115,0.125,0.13,0.107,0.068,0.116,0.08,0.069,0.084,0.062,0.086,0.077,0.078,0.069,0.068,0.108,0.151,0.072,0.106,0.091,0.085,0.072,0.072,0.104,0.078,0.058,0.1,0.041,0.119,0.139,0.125,0.115,0.068,0.085,0.087,0.097,0.086,0.067,0.116,0.141,0.195,0.134,0.136,0.129,0.108,0.139,0.13,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92360,"92360A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.069,0.877,0.502,2.168,1.086,0.494,1.573,2.086,2.237,2.966,1.304,0.378,0.284,0.296,0.309,0.2,0.191,0.162,0.155,0.1,0.364,0.186,0.283,0.163,0.215,0.238,0.157,0.379,0.376,0.219,0.162,0.134,0.212,0.283,0.349,0.439,0.245,0.347,0.297,0.326,0.554,0.625,0.292,0.245,0.128,0.206,0.551,0.55,0.29,0.427,0.361,0.271,0.583,0.718,0.476,0.161,0.41,0.253,0.217,0.251,1.023,1.474,1.019,0.462,0.282,0.16,0.144,0.132,0.109,0.115,0.116,0.161,0.264,0.18,0.14,0.07,0.151,0.254,0.127,0.1,0.102,0.133,0.099,0.093,0.124,0.146,0.169,0.134,0.151,0.107,0.136,0.092,0.276,0.205,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA
