"sp","quadrat","lx","ly","tag","stem","dbh.2018","codes.2018","status.2015","status.2016","status.2017","status.2018","new.status","codes.2013","dbh.2013","status..2017","dbh.if.dead","perc.crown","crown.position","fad1","fad2","fad3","fad4","DF","liana.load","fraxinus.crown.thinning","fraxinus.epicormic.growth","EABF","DE.count","Old.comments","X2019.comments","cored","Date","surveyors"
"litu",1107,10.3,19,111032,2,432,"F;S","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1107,8.6,18.8,111033,1,0,"F;DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1107,3.9,19.6,111038,1,0,"F;DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1108,19.7,4.1,111039,1,479,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1108,16.5,5.7,111041,1,1033,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1108,12.1,0.9,111042,1,195,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",1108,9,1.8,111046,1,106,"F;M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",1108,10.4,8.1,111047,1,262,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1108,18.8,10.5,111050,1,0,"F;DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1108,16.9,15.5,111051,1,477,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1108,16.5,14.3,111052,1,115,"F;M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1108,16.5,14.3,111052,2,0,"F;DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",1108,16.5,16.5,111053,1,239,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1108,16.4,17.5,111054,1,290,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1108,11.8,18.1,111057,1,445,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1108,10.6,19.2,111059,1,773,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1109,10.7,0.3,111063,1,336,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1109,11.3,6.6,111067,1,230,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1109,13.9,5.7,111069,1,582,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1109,13,7.9,111070,1,553,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1109,14.8,10,111071,1,208,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1109,17.2,12,111072,1,136,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1109,12.3,14.1,111073,1,433,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1109,19.5,19.1,111074,1,428,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1109,14.6,18.9,111075,1,171,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1109,7.4,18,111076,1,118,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1109,7.8,15.2,111077,1,0,"F;DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cato",1109,7.7,14.1,111078,1,301,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",1109,1,10.4,111080,1,152,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1110,15.6,5,111081,1,453,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1109,8.4,19.9,111082,1,321,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1110,10.8,3.4,111083,1,150,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1110,9,6.3,111084,1,613,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1110,10,6.9,111085,1,107,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1110,8.3,7.3,111086,1,160,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",1110,13.5,6.8,111087,1,395,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1110,19.4,9.3,111090,1,17,"C;F","A","A","A","AU","","","","","","","","","","","","","","","","","","","","","",""
"litu",1110,16.7,12,111091,1,241,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1110,18.3,17.7,111092,1,568,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1110,13.4,16.4,111093,1,476,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1110,10.1,16.9,111094,1,362,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1110,14.8,19.3,111095,1,208,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1111,20,5.3,111098,1,0,"F;DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1111,15.6,5.7,111099,1,242,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1107,5.3,4.2,111107,1,381,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",1107,0.1,8.1,111116,1,0,"F;DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1107,2.2,12.2,111126,1,643,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",1108,5.2,6.2,111131,1,110,"A;M;F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",1108,5.2,6.2,111131,2,17,"F;S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",1108,5.2,6.2,111131,3,10,"F;S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",1108,5.2,6.2,111131,4,12,"F;S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",1108,0.4,8.3,111134,1,579,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",1108,3.8,10.2,111136,1,101,"F;M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",1108,7.5,9.9,111139,1,106,"F;M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",1108,7.5,9.9,111139,2,20,"F;S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",1108,7.5,9.9,111139,3,12,"F;S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",1108,2.3,11.4,111142,1,398,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1108,2.5,17.3,111144,1,417,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1108,5,16.9,111145,1,0,"F;DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",1109,2.4,1.5,111147,1,101,"F;M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",1109,1.4,1.6,111149,1,590,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1109,0.6,2.9,111150,1,525,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1109,2.2,4.2,111153,1,319,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1109,5.1,4.5,111154,1,0,"F;DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"casp",1109,9.4,4.4,111156,1,0,"F;DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1109,8,10.4,111157,1,101,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1109,5,7.6,111158,1,540,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",1109,4.1,6.7,111160,1,0,"F;DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"quve",1109,2.7,12.4,111163,1,528,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1110,0.5,3.1,111165,1,103,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1110,5.1,2.7,111166,1,0,"F;DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",1110,4.2,8.1,111167,1,773,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1110,4.4,13.4,111169,1,274,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1110,2.8,15.2,111170,1,145,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",1110,6.8,18.5,111171,1,134,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1110,8.5,18.7,111172,1,325,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1111,2.5,0.9,111173,1,223,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1111,4,3.2,111174,1,861,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1111,6,10.3,111178,1,171,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1111,3.1,12.5,111180,1,346,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1111,4.1,15.4,111181,1,555,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1112,5.3,2.3,111188,1,476,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1112,7.3,1.8,111189,1,189,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",1112,7.4,8,111190,1,351,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1112,2.4,5.5,111191,1,120,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1112,1.8,7.3,111192,1,177,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1112,3,9.5,111193,1,389,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1113,1.2,2.7,111195,1,114,"F;DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1113,3.8,4.7,111196,1,472,"F;DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1113,7.4,0.4,111197,1,412,"F;I","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1111,16.8,13.1,111201,1,225,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",1111,11.4,13.3,111202,1,164,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1111,7.8,16.7,111203,1,335,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1111,16.1,19.9,111204,1,291,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1112,17.5,1.1,111206,1,301,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1112,14.4,3.3,111207,1,763,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",1112,12.2,2.4,111208,1,267,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1112,18.8,7.3,111210,1,277,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1112,12.8,7.9,111211,1,132,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1112,12,9.9,111212,1,158,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",1112,14.2,14.6,111213,1,143,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1112,18.6,10.9,111214,1,234,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1112,19.8,15.4,111216,1,313,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1112,12.9,16.9,111217,1,770,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1112,8.2,17.3,111218,1,215,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1112,5.2,15.8,111219,1,110,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1112,1.9,18.7,111221,1,163,"F","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1113,19.2,2.1,111223,1,179,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1113,14,4.5,111225,1,250,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1113,12.7,7.9,111226,1,204,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1113,15.5,7.3,111227,1,0,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1113,17.5,7.8,111230,1,156,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"litu",1113,16,10.9,111231,1,797,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1113,16,11.4,111232,1,149,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1113,11.2,12.6,111235,1,208,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",1113,10.8,18.5,111238,1,107,"M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",1113,10.2,15,111239,1,716,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1113,8.5,18.7,111240,1,288,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1113,8,15.8,111241,1,212,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1114,16.9,1,111242,1,110,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1114,15.5,0.8,111243,1,375,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1114,16.4,6,111244,1,110,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1114,18.8,11.1,111245,1,203,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1114,12.4,12.2,111247,1,219,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",1114,17.9,14.5,111248,1,137,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1114,19.5,16.4,111249,1,136,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1114,10.9,10,111252,1,337,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1115,19.4,0.5,111257,1,832,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1115,14.5,1,111260,1,212,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"tiam",1115,13.6,5.8,111262,1,244,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1115,19.3,7.1,111264,1,131,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1115,15,13.1,111270,1,510,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",1115,16.5,16.8,111273,1,222,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","anthracnose","","","",""
"litu",1115,12.5,19.7,111279,1,830,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",1115,11.3,19.8,111280,1,120,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"havi",1115,19.7,18.9,111281,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"havi",1115,19.7,18.9,111281,2,84,"M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",1115,19.7,18.9,111281,3,59,"P;S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",1115,19.7,18.9,111281,4,16,"L;S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",1115,19.7,18.9,111281,5,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"unk",1116,0,0,111285,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"unk",1116,0,0,111285,2,0,"DN",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"qual",1116,10.5,6.3,111287,1,561,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1116,17.4,8.3,111290,1,0,"DS","A","DS","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"havi",1116,16.6,9.6,111291,1,112,"M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"fram",1116,12.8,10.4,111292,1,713,"I","A","A","A","A","","","","","","","","","","","","","","","","","","old vertical bark split","","","",""
"nysy",1116,12.9,11.2,111293,1,194,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1116,13.7,17.1,111294,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1116,18.4,12.9,111295,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caco",1116,18.3,13.8,111296,1,120,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"nysy",1116,10.2,16,111297,1,274,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",1113,2.1,14.5,111301,1,159,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1113,0.8,14.7,111302,1,355,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1113,4.7,19.3,111305,1,229,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1114,0.4,2.2,111306,1,230,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quve",1114,4,9.7,111310,1,642,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",1114,6.2,9,111311,1,228,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1114,0.4,6.4,111313,1,141,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1114,1.4,11.4,111314,1,742,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1114,1.9,17.3,111319,1,758,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1114,7.4,12.9,111320,1,201,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",1115,1.3,0.4,111323,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cato",1115,7.6,5.2,111327,1,327,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1115,5.7,5.6,111328,1,268,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"frni",1115,8.3,12.9,111330,1,458,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","giant poison ivy on trunk; vines","","","",""
"fram",1115,7.2,17.1,111333,1,441,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",1116,3,3.4,111336,1,0,"DC","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",1116,7.6,7.1,111338,1,107,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"cato",1116,7.7,7.9,111339,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"vipr",1116,10.7,10.3,111352,1,130,"I;M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"vipr",1116,10.7,10.3,111352,2,14,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"fram",1116,6.9,9.9,111356,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",1116,2.5,10,111371,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"astr",1116,5,14.8,111381,1,124,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",1116,2.2,18,111386,1,109,"A","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1110,10.8,5.4,111387,1,0,"F;DS","DS","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"unk",1117,10.1,3.1,112001,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"quru",1117,18.2,10.3,112010,1,170,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1117,18,11.2,112014,1,499,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1117,13.8,17,112020,1,345,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1117,4.1,14.3,112023,1,261,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","break @ 4m","","","",""
"acru",1117,4.7,16.1,112026,1,119,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"saal",1117,13.3,14.8,112030,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"saal",1117,13.3,14.8,112030,2,0,"DS",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"cagl",1118,16.2,5.7,112041,1,136,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1118,16.1,3.9,112042,1,200,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1118,16,7.3,112044,1,201,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1118,11.5,7.1,112045,1,313,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"amar",1118,13.2,10.8,112046,1,125,"J","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1118,16.4,18.1,112047,1,148,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1118,10.8,18.1,112049,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cato",1118,8.8,15.4,112050,1,343,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1117,3.8,3,112053,1,404,"L","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",1117,6,2.9,112056,1,130,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",1117,8.8,4.2,112057,1,712,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",1117,1,7.6,112060,1,853,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1118,2.4,0.9,112082,1,357,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",1118,3.2,1.1,112084,1,112,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",1118,1.5,6.1,112090,1,176,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1118,8.8,6.2,112093,1,589,"J;M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",1118,8.8,6.2,112093,2,533,"S","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1118,1.9,7.4,112094,1,503,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1118,7.5,12.6,112099,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cato",1118,6.8,14,112100,1,171,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1118,3.9,15.8,112102,1,209,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",1118,0.8,16,112103,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cato",1118,6,19.7,112104,1,115,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1118,0,20,112106,1,148,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1119,0.2,3.3,112107,1,150,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1119,1.5,5.5,112108,1,621,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",1119,7.7,4.1,112110,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"qual",1119,5.8,9.2,112115,1,710,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1119,13.3,11.4,112118,1,584,"NULL","A","A","AU","AU","","","","","","","","","","","","","","","","","","almost dead","","","",""
"cato",1119,18.3,8.5,112127,1,358,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1119,18.2,16,112128,1,166,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1119,17.2,18.3,112130,1,149,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1119,6.5,14.9,112131,1,396,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"pist",1120,13.9,2.5,112136,1,293,"NULL","A","AU","AU","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1120,13.4,3.9,112137,1,583,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"pist",1120,9.9,4.4,112138,1,289,"NULL","A","AU","AU","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",1120,3.2,5.6,112140,1,175,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1120,16,3.5,112142,1,398,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",1120,19.1,4.7,112143,1,0,"DC","A","A","DC","PD","","","","","","","","","","","","","","","","","","","","","",""
"cato",1120,18.8,8,112144,1,197,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"pist",1120,18.5,9.1,112145,1,239,"NULL","A","AU","AU","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1120,4.7,7.8,112146,1,187,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"pist",1120,15.1,14.6,112148,1,155,"NULL","A","AU","AU","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",1120,11,12.5,112150,1,200,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1120,12.7,15.5,112160,1,451,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1120,19.9,19.6,112162,1,148,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qufa",1120,9.3,18.4,112165,1,772,"I","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quve",1120,5.2,16.8,112167,1,457,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",1120,0.7,19.2,112169,1,105,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"pist",1121,4.4,1.8,112170,1,351,"NULL","A","AU","AU","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",1121,17.5,12.5,112176,1,604,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"pist",1121,19.1,6.4,112177,1,323,"NULL","A","AU","AU","A","","","","","","","","","","","","","","","","","","","","","",""
