tag,stemtag,sp,quadrat,biannual,cored,year.cored,dbh2008,dbh2013,dbh2018,crown.position
62373,1,qupr,628,0,1,2010-2011,279.7,283,,
62417,1,quve ,630,1,0,NA,933,944,,
62449,1,qual ,632,1,0,NA,880.1,891,,
62454,1,quve ,632,1,0,NA,906,926.1,,
70018,1,fagr,701,0,1,2010-2011,199.1,215.4,,
70065,1,cagl,703,0,1,2010-2011,186.7,194.9,,
70069,1,qual,703,0,1,2010-2011,654.3,676.5,,
70083,1,qupr,704,0,1,2010-2011,541.1,563,,
70096,1,quru,704,1,1,2010-2011,843.8,866.9,,
70126,1,quru,705,1,1,2010-2011,789.4,821,,
70148,1,qupr,706,0,1,2010-2011,104,103.2,,
70152,1,cagl,706,0,1,2010-2011,235.9,236.4,,
70162,1,caovl,706,0,1,2010-2011,451.8,477,,
70180,1,fagr,707,0,1,2010-2011,147,156,,
70181,1,litu ,707,1,0,NA,520,536.3,,
70182,1,fagr,707,0,1,2010-2011,193.6,206.1,,
70198,1,qupr,708,0,1,2010-2011,130.6,327.2,,
70216,1,quve ,701,1,0,NA,907.6,930.2,,
70220,1,qual ,702,1,0,NA,506.2,533.9,,
70256,1,cagl,703,0,1,2010-2011,220,224,,
70269,1,cagl,704,0,1,2010-2011,410.9,426.4,,
70278,1,qupr ,704,1,0,NA,654.1,679.8,,
70292,1,cagl ,705,1,0,NA,444.5,456.3,,
70308,1,qupr,705,0,1,2010-2011,599.5,618,,
70332,1,cagl,706,0,1,2010-2011,237,242.3,,
70334,1,qupr,706,0,1,2010-2011,584.4,638.5,,
70352,1,litu ,707,1,0,NA,734,751.1,,
70356,1,caca ,707,1,0,NA,80.2,78.8,,
70358,1,litu ,708,1,0,NA,348.5,363.8,,
70371,1,qual,708,0,1,2010-2011,564,607.9,,
70407,1,quru,709,0,1,2010-2011,672,701.5,,
70421,1,quru,709,0,1,2010-2011,575.2,734.6,,
70433,1,litu,710,1,1,2010-2011,691.5,716.9,,
70444,1,qupr,711,0,1,2010-2011,265.9,273,,
70471,1,qual,712,0,1,2010-2011,343.4,355.1,,
70492,1,nysy ,714,1,0,NA,194,198.6,,
70493,1,litu ,714,1,0,NA,524.5,539.2,,
70494,1,caca ,714,1,0,NA,68.2,77.3,,
70494,2,caca ,714,1,0,NA,60.4,60,,
70495,1,caca ,714,1,0,NA,57.5,67.9,,
70502,1,quru,710,0,1,2010-2011,555.5,567.9,,
70519,1,qual,711,1,1,2010-2011,334.4,544.8,,
70536,1,qual,711,1,1,2010-2011,564.5,583.9,,
70559,1,qual,712,0,1,2010-2011,585.1,596,,
70579,1,caco ,714,1,0,NA,232.2,236.1,,
